bench,	b32,	    b64,	    b128,	    b256,	    b512,	    b1024
naive,	2.044483,	1.364003,	1.368770,	1.407395,	1.457315,	1.581251
    4,	4.707659,	4.448934,	4.372902,	4.293574,	4.274150,	4.808422
    8,	3.708998,	3.318694,	3.256997,	3.166437,	3.158853,	3.264421
   16,	2.448068,	2.228068,	2.145796,	2.089827,	2.076355,	2.229828
   30,	2.434468,	2.237283,	2.156292,	2.071172,	2.043876,	2.223142
   31,	2.423428,	2.232035,	2.135204,	2.067043,	2.039971,	2.222308
   32,	1.462275,	1.309794,	1.273539,	1.248707,	1.311810,	1.628547
   33,	2.302020,	2.156100,	2.063747,	2.002660,	1.975171,	2.170820
   34,	2.236772,	2.088163,	2.017828,	1.958083,	1.914595,	2.125924
   48,	1.657507,	1.608067,	1.599235,	1.525891,	1.493443,	1.799907
   64,	1.462307,	1.342019,	1.327843,	1.280387,	1.308835,	1.624163
   96,	1.466755,	1.384579,	1.378914,	1.303907,	1.318178,	1.629187
  128,	1.470147,	1.388036,	1.397506,	1.317987,	1.308899,	1.611843
  256,	1.454339,	1.386434,	1.384066,	1.386467,	1.339234,	1.615170
  512,	1.457954,	1.384227,	1.381123,	1.384066,	1.405379,	1.626339
 1024,	1.471746,	1.383747,	1.379234,	1.382274,	1.406179,	1.673987
 2048,	1.507618,	1.378947,	1.373666,	1.374179,	1.409314,	1.669091
