I,naive,naive_opt,8,16,31,32,33,64,128
32,903,4,312,234,390,195,195,351,663
36,1141,5,430,387,430,430,430,387,731
40,1407,5,470,423,470,470,470,423,799
44,1701,6,612,459,510,510,510,459,867
48,2023,6,660,495,550,550,550,495,935
52,2373,7,826,708,590,590,590,531,1003
56,2751,7,882,756,630,630,630,567,1071
60,3157,8,1072,804,670,670,670,603,1139
64,3591,8,1136,852,1065,710,710,639,1207
68,4053,9,1350,1125,1125,1125,1125,1350,1275
72,4543,9,1422,1185,1185,1185,1185,1422,1343
76,5061,10,1660,1245,1245,1245,1245,1494,1411
80,5607,10,1740,1305,1305,1305,1305,1566,1479
84,6181,11,2002,1638,1365,1365,1365,1638,1547
88,6783,11,2090,1710,1425,1425,1425,1710,1615
92,7413,12,2376,1782,1485,1485,1485,1782,1683
96,8071,12,2472,1854,2060,1545,1545,1854,1751
100,8757,13,2782,2247,2140,2140,2140,1926,1819
104,9471,13,2886,2331,2220,2220,2220,1998,1887
108,10213,14,3220,2415,2300,2300,2300,2070,1955
112,10983,14,3332,2499,2380,2380,2380,2142,2023
116,11781,15,3690,2952,2460,2460,2460,2214,2091
120,12607,15,3810,3048,2540,2540,2540,2286,2159
124,13461,16,4192,3144,2620,2620,2620,2358,2227
128,14343,16,4320,3240,3375,2700,2700,2430,2295
132,15253,17,4726,3753,3475,3475,2780,3753,4726
136,16191,17,4862,3861,3575,3575,3575,3861,4862
140,17157,18,5292,3969,3675,3675,3675,3969,4998
144,18151,18,5436,4077,3775,3775,3775,4077,5134
148,19173,19,5890,4650,3875,3875,3875,4185,5270
152,20223,19,6042,4770,3975,3975,3975,4293,5406
156,21301,20,6520,4890,4890,4075,4075,4401,5542
160,22407,20,6680,5010,5010,4175,4175,4509,5678
164,23541,21,7182,5643,5130,5130,4275,4617,5814
168,24703,21,7350,5775,5250,5250,5250,4725,5950
172,25893,22,7876,5907,5370,5370,5370,4833,6086
176,27111,22,8052,6039,5490,5490,5490,4941,6222
180,28357,23,8602,6732,5610,5610,5610,5049,6358
184,29631,23,8786,6876,5730,5730,5730,5157,6494
188,30933,24,9360,7020,6825,5850,5850,5265,6630
192,32263,24,9552,7164,6965,5970,5970,5373,6766
196,33621,25,10150,7917,7105,7105,6090,7308,6902
200,35007,25,10350,8073,7245,7245,7245,7452,7038
204,36421,26,10972,8229,7385,7385,7385,7596,7174
208,37863,26,11180,8385,7525,7525,7525,7740,7310
212,39333,27,11826,9198,7665,7665,7665,7884,7446
216,40831,27,12042,9366,7805,7805,7805,8028,7582
220,42357,28,12712,9534,9080,7945,7945,8172,7718
224,43911,28,12936,9702,9240,8085,8085,8316,7854
228,45493,29,13630,10575,9400,9400,8225,8460,7990
232,47103,29,13862,10755,9560,9560,9560,8604,8126
236,48741,30,14580,10935,9720,9720,9720,8748,8262
240,50407,30,14820,11115,9880,9880,9880,8892,8398
244,52101,31,15562,12048,10040,10040,10040,9036,8534
248,53823,31,15810,12240,10200,10200,10200,9180,8670
252,55573,32,16576,12432,11655,10360,10360,9324,8806
256,57351,32,16832,12624,11835,10520,10520,9468,8942
260,59157,33,17622,13617,12015,12015,10680,12015,13617
264,60991,33,17886,13821,12195,12195,10840,12195,13821
268,62853,34,18700,14025,12375,12375,12375,12375,14025
272,64743,34,18972,14229,12555,12555,12555,12555,14229
276,66661,35,19810,15282,12735,12735,12735,12735,14433
280,68607,35,20090,15498,14350,12915,12915,12915,14637
284,70581,36,20952,15714,14550,13095,13095,13095,14841
288,72583,36,21240,15930,14750,13275,13275,13275,15045
292,74613,37,22126,17043,14950,14950,13455,13455,15249
296,76671,37,22422,17271,15150,15150,13635,13635,15453
300,78757,38,23332,17499,15350,15350,15350,13815,15657
304,80871,38,23636,17727,15550,15550,15550,13995,15861
308,83013,39,24570,18900,15750,15750,15750,14175,16065
312,85183,39,24882,19140,17545,15950,15950,14355,16269
316,87381,40,25840,19380,17765,16150,16150,14535,16473
320,89607,40,26160,19620,17985,16350,16350,14715,16677
324,91861,41,27142,20853,18205,18205,16550,17874,16881
328,94143,41,27470,21105,18425,18425,16750,18090,17085
332,96453,42,28476,21357,18645,18645,18645,18306,17289
336,98791,42,28812,21609,18865,18865,18865,18522,17493
340,101157,43,29842,22902,19085,19085,19085,18738,17697
344,103551,43,30186,23166,21060,19305,19305,18954,17901
348,105973,44,31240,23430,21300,19525,19525,19170,18105
352,108423,44,31592,23694,21540,19745,19745,19386,18309
356,110901,45,32670,25047,21780,21780,19965,19602,18513
360,113407,45,33030,25323,22020,22020,20185,19818,18717
364,115941,46,34132,25599,22260,22260,22260,20034,18921
368,118503,46,34500,25875,22500,22500,22500,20250,19125
372,121093,47,35626,27288,22740,22740,22740,20466,19329
376,123711,47,36002,27576,24895,22980,22980,20682,19533
380,126357,48,37152,27864,25155,23220,23220,20898,19737
384,129031,48,37536,28152,25415,23460,23460,21114,19941
388,131733,49,38710,29625,25675,25675,23700,24885,26860
392,134463,49,39102,29925,25935,25935,23940,25137,27132
396,137221,50,40300,30225,26195,26195,24180,25389,27404
400,140007,50,40700,30525,26455,26455,26455,25641,27676
404,142821,51,41922,32058,28770,26715,26715,25893,27948
408,145663,51,42330,32370,29050,26975,26975,26145,28220
412,148533,52,43576,32682,29330,27235,27235,26397,28492
416,151431,52,43992,32994,29610,27495,27495,26649,28764
420,154357,53,45262,34587,29890,29890,27755,26901,29036
424,157311,53,45686,34911,30170,30170,28015,27153,29308
428,160293,54,46980,35235,30450,30450,28275,27405,29580
432,163303,54,47412,35559,30730,30730,30730,27657,29852
436,166341,55,48730,37212,33225,31010,31010,27909,30124
440,169407,55,49170,37548,33525,31290,31290,28161,30396
444,172501,56,50512,37884,33825,31570,31570,28413,30668
448,175623,56,50960,38220,34125,31850,31850,28665,30940
452,178773,57,52326,39933,34425,34425,32130,33048,31212
456,181951,57,52782,40281,34725,34725,32410,33336,31484
460,185157,58,54172,40629,35025,35025,32690,33624,31756
464,188391,58,54636,40977,35325,35325,35325,33912,32028
468,191653,59,56050,42750,38000,35625,35625,34200,32300
472,194943,59,56522,43110,38320,35925,35925,34488,32572
476,198261,60,57960,43470,38640,36225,36225,34776,32844
480,201607,60,58440,43830,38960,36525,36525,35064,33116
484,204981,61,59902,45663,39280,39280,36825,35352,33388
488,208383,61,60390,46035,39600,39600,37125,35640,33660
492,211813,62,61876,46407,39920,39920,37425,35928,33932
496,215271,62,62372,46779,40240,40240,40240,36216,34204
500,218757,63,63882,48672,43095,40560,40560,36504,34476
504,222271,63,64386,49056,43435,40880,40880,36792,34748
508,225813,64,65920,49440,43775,41200,41200,37080,35020
512,229383,64,66432,49824,44115,41520,41520,37368,35292
